stock_code,stock_name,rank_today,new_price,change_rate,volume_ratio,turnover_rate,deal_amount,rank_yesterday,rank_change,date,ret_T1,ret_T3,ret_T5,ret_T10,ret_T20,rc_bin,cr_bin,month
688586,江航装备,958,,,,,,5127,4169,2025-03-16,,,,,,Q3,,2025-03
300943,春晖智控,1447,,,,,,4953,3506,2025-03-16,,,,,,Q2,,2025-03
001914,招商积余,348,,,,,,3618,3270,2025-03-16,,,,,,Q2,,2025-03
301613,新铝时代,1194,,,,,,4436,3242,2025-03-16,,,,,,Q2,,2025-03
603776,永安行,144,,,,,,2905,2761,2025-03-16,,,,,,Q2,,2025-03
002895,川恒股份,717,,,,,,3260,2543,2025-03-16,,,,,,Q1(小),,2025-03
002208,合肥城建,509,,,,,,2906,2397,2025-03-16,,,,,,Q1(小),,2025-03
601969,海南矿业,461,,,,,,2857,2396,2025-03-16,,,,,,Q1(小),,2025-03
600095,湘财股份,11,,,,,,2322,2311,2025-03-16,,,,,,Q1(小),,2025-03
000061,农产品,1800,,,,,,4089,2289,2025-03-16,,,,,,Q1(小),,2025-03
002653,海思科,1802,,,,,,4057,2255,2025-03-16,,,,,,Q1(小),,2025-03
301309,万得凯,2419,,,,,,4589,2170,2025-03-16,,,,,,Q1(小),,2025-03
688788,科思科技,1460,,,,,,3553,2093,2025-03-16,,,,,,Q1(小),,2025-03
688225,亚信安全,2727,,,,,,4820,2093,2025-03-16,,,,,,Q1(小),,2025-03
002054,德美化工,2594,,,,,,4534,1940,2025-03-16,,,,,,Q1(小),,2025-03
688088,虹软科技,915,,,,,,2840,1925,2025-03-16,,,,,,Q1(小),,2025-03
688766,普冉股份,1422,,,,,,3312,1890,2025-03-16,,,,,,Q1(小),,2025-03
000793,*ST华闻,77,,,,,,1961,1884,2025-03-16,,,,,,Q1(小),,2025-03
300813,泰林生物,1868,,,,,,3748,1880,2025-03-16,,,,,,Q1(小),,2025-03
