fast_period,slow_period,signal_period,sharpe,annual_return,max_drawdown,total_return,win_rate,profit_loss_ratio,total_trades,n_stocks
14,40,11,0.1313,4.18,45.45,73.38,39.29,1.84,80,8
16,40,10,0.1268,4.12,45.8,71.91,39.31,1.84,80,8
16,40,9,0.125,4.07,45.83,69.29,38.47,1.9,82,8
16,40,11,0.1192,3.99,45.38,69.3,37.6,1.98,78,8
16,35,11,0.1181,3.94,46.75,71.28,39.32,1.81,79,8
16,35,10,0.1175,3.82,46.27,61.2,37.61,1.94,81,8
14,40,10,0.1162,3.81,46.68,61.11,37.75,1.94,83,8
12,40,11,0.0966,3.44,47.0,55.4,36.77,1.96,86,8
14,35,11,0.0955,3.3,46.96,49.74,37.11,1.94,83,8
16,30,11,0.0948,3.3,47.12,50.76,37.58,1.89,81,8
16,35,9,0.0915,3.26,46.94,50.48,37.02,1.92,86,8
14,40,9,0.0879,3.26,46.81,54.15,36.49,1.96,88,8
16,40,8,0.084,3.18,46.85,52.24,36.15,1.98,88,8
16,40,7,0.0777,3.09,46.86,52.64,36.78,1.9,92,8
14,35,10,0.0733,2.88,47.33,43.48,36.87,1.91,85,8
16,30,10,0.0716,2.8,47.31,40.74,37.26,1.87,83,8
16,26,11,0.0692,2.77,48.21,40.19,37.34,1.85,85,8
16,28,11,0.0685,2.69,48.08,38.71,37.42,1.86,83,8
14,40,7,0.0634,2.63,46.57,38.87,34.86,2.03,99,8
12,40,10,0.0595,2.68,48.19,43.74,37.03,1.84,90,8
