test,group,regime,sample_count,avg_1d,med_1d,winrate_1d,count_1d,avg_3d,med_3d,winrate_3d,count_3d,avg_5d,med_5d,winrate_5d,count_5d,avg_10d,med_10d,winrate_10d,count_10d,avg_20d,med_20d,winrate_20d,count_20d
direction,Q1_top,all,11967,0.05956125548430645,0.08999999999999009,52.33715828552143,11852,0.20076268729445837,0.14053342400000002,52.006186098462074,11639,0.3180666445772419,0.15861557948476657,51.576182136602455,11420,0.8214367570191267,0.4695432983124581,53.36640029392854,10887,1.910495132854362,1.1586970042494205,55.81686746987952,10375
direction,Q2,all,11364,0.08830223880597018,0.11000000000001009,53.02061122956645,11256,0.26738288292962503,0.272396342600012,54.14024279760826,11038,0.40414005965545663,0.3410374326829668,53.76582570926901,10821,0.9267445979488161,0.6742888472556885,55.54150043787097,10277,1.989160087111112,1.4632721217536115,58.89539061697978,9741
direction,Q3,all,11368,0.08097584798437221,0.11000000000001009,53.08115787604333,11262,0.2588365961783928,0.2672574276499806,54.73817720601558,11038,0.4097187355826352,0.3513084593310678,54.46651270207852,10825,0.917435978251357,0.7243975631906263,55.88406924722816,10282,2.0209209354826654,1.6546576260223045,59.21174176331725,9743
direction,Q4,all,11364,0.10855950266429841,0.12000000000000899,53.22380106571936,11260,0.3158819788315014,0.298118245500012,54.96197030061572,11044,0.4694404993884736,0.41546183082550314,54.85867356364308,10826,0.9660638253805399,0.7357832837331602,56.18797431406889,10278,2.0535619538398864,1.6343892733255316,58.97856630089222,9751
direction,Q5_bot,all,11379,0.11045519077196099,0.09999999999998899,52.54658385093167,11270,0.26951121196857186,0.19980776959998003,53.133761418106175,11057,0.4332131225264222,0.26464394549898795,52.91459140380004,10842,0.8747654003503922,0.5568582747008222,54.158175642891806,10305,1.9129413813652725,1.1766482761666808,56.10929185427753,9772
direction,Q1_top,bull,7611,0.08780683030949851,0.15000000000000568,53.948772678762005,7496,0.21877003965190184,0.24304602549998222,53.50816971028423,7283,0.25994590201460444,0.20728055255613276,52.33578708946772,7064,0.6497440763748417,0.5632917134233972,54.2183432858674,6531,1.3051730044945151,1.2078388685382135,56.65392922412361,6019
direction,Q2,bull,7250,0.1236446373564828,0.17000000000000348,54.46653598431812,7142,0.3394281619345611,0.3835202731999887,55.83477758521086,6924,0.41423638908813687,0.47060118359680825,55.13642463098255,6707,0.9178659762741314,0.875968927289672,57.520687976634754,6163,1.636799288071216,1.648516369050479,60.369646347965165,5627
direction,Q3,bull,7254,0.12805120313374369,0.17000000000000348,55.050363738108565,7148,0.3215399509178076,0.371429985799987,56.58578856152513,6924,0.40186167783149257,0.45375120405595215,55.99761585456713,6711,0.9489443410200208,0.9600596126152827,57.76588845654993,6168,1.7681239434326068,1.9585074301616157,61.28974951145851,5629
direction,Q4,bull,7250,0.15032745591939545,0.18000000000000238,54.81388189196753,7146,0.4066398290656278,0.42359481980001057,57.05627705627706,6930,0.47694327597725394,0.5514701455476168,56.719308700834326,6712,0.9640429297073473,0.9400329184490075,58.14406229720961,6164,1.7684761475201691,1.8897841549396999,61.131807699130746,5637
direction,Q5_bot,bull,7265,0.15880799329234213,0.15500000000000513,53.77305757406372,7156,0.3609878899532048,0.34267583780001054,55.29310096500072,6943,0.4286372329375456,0.40965279972469126,54.429250891795476,6728,0.8458077700774528,0.7461501516135449,55.96834114036504,6191,1.4618361151038652,1.3041215197256428,57.03428773418169,5658
direction,Q1_top,bear,4356,0.010955004591368077,-0.009999999999998899,49.563820018365476,4356,0.17065535322208444,-0.04271076130000773,49.494949494949495,4356,0.4123193822867163,0.06145661489412868,50.34435261707989,4356,1.0788575323377279,0.31208702247893516,52.089072543617995,4356,2.7469124631109993,1.073773962652469,54.66023875114784,4356
direction,Q2,bear,4114,0.026947010209042346,0.019999999999997797,50.510452114730185,4114,0.14612826167775902,0.06842844980000651,51.28828390860476,4114,0.3876801467957128,0.12439623052783455,51.53135634419057,4114,0.9400452652752826,0.3490421062310567,52.57656781720953,4114,2.4711081221615476,1.143120918335827,56.87894992707827,4114
direction,Q3,bear,4114,-0.0008167233835683171,-0.009999999999998899,49.65969859017987,4114,0.15330474683087014,0.09908142080000681,51.62858531842489,4114,0.4225356326579676,0.1545332679651179,51.96888672824501,4114,0.8701964105417996,0.39458212601958254,53.06271268838114,4114,2.366811618090779,1.07034835590335,56.36849781234808,4114
direction,Q4,bear,4114,0.03600875060768116,0.019999999999997797,50.46183762761303,4114,0.1630011081162616,0.07887220070000867,51.43412736995625,4114,0.457199702970415,0.11065577585916975,51.823043266893535,4114,0.9690917303220957,0.37081483103242885,53.25717063684978,4114,2.44418633162896,1.0964320145315676,56.02819640252795,4114
direction,Q5_bot,bear,4114,0.026349052017501238,0.019999999999997797,50.413223140495866,4114,0.11513042070768066,-0.053600184599994494,49.48954788526981,4114,0.44069649276316547,0.042960001080882826,50.437530384054455,4114,0.9183426217941861,0.18220477660199075,51.43412736995625,4114,2.5333481865444267,1.001488042731069,54.83714146815751,4114
