indicator,signal_name,direction,count,winrate_T1,avgret_T1,n_T1,winrate_T2,avgret_T2,n_T2,winrate_T3,avgret_T3,n_T3,winrate_T5,avgret_T5,n_T5,winrate_T7,avgret_T7,n_T7,winrate_T10,avgret_T10,n_T10,winrate_T15,avgret_T15,n_T15,winrate_T20,avgret_T20,n_T20,winrate_T30,avgret_T30,n_T30,winrate_T45,avgret_T45,n_T45,winrate_T60,avgret_T60,n_T60
MA,bias10_extreme_low,buy,19281,58.83,0.536,19281,62.98,1.042,18694,64.38,1.259,18197,67.02,2.022,17572,63.31,1.857,16094,61.52,2.415,9082,46.27,1.199,7104,52.51,2.871,5633,72.34,6.03,47,65.79,6.57,38,62.16,10.377,37
MA,bias5_extreme_low,buy,19137,55.69,0.414,19137,61.37,1.075,18323,63.21,1.333,17848,67.03,2.197,17495,60.85,1.629,16724,56.18,1.86,8699,48.39,1.765,6282,57.2,3.884,4425,62.5,5.097,48,65.0,7.455,40,57.89,9.37,38
MA,bias20_extreme_low,buy,17742,57.43,0.479,17742,61.67,0.905,16910,63.51,1.089,16203,64.69,1.692,15267,60.7,1.454,13658,55.41,1.332,8435,40.04,-0.286,6788,43.94,0.651,4763,75.86,5.48,58,76.74,4.915,43,76.74,9.675,43
MA,bias60_extreme_low,buy,12233,53.19,0.2,12233,55.46,0.386,11384,57.4,0.502,10612,57.27,0.748,9518,53.18,0.409,8044,44.03,-0.523,4883,37.03,-1.129,3416,46.23,0.741,2057,87.32,6.607,71,100.0,8.256,58,89.66,11.743,58
MA,ma5_cross_ma10_golden,buy,8603,43.46,-0.039,8603,44.17,-0.106,8081,43.35,-0.141,7172,49.07,0.577,5947,46.18,0.32,5838,37.09,-0.876,5654,38.33,-0.015,4229,44.78,0.78,1235,,,29,,,26,,,24
MA,ma20_fake_break_down,buy,5417,48.18,0.171,5417,47.61,0.105,5312,50.98,0.322,5249,46.92,0.206,4770,46.12,0.441,4111,49.13,0.956,3552,43.24,0.914,2197,55.6,3.513,1356,,,15,,,13,,,9
MA,ma60_break_up,buy,5354,48.99,0.253,5354,50.17,0.359,5188,50.61,0.456,5037,48.24,0.291,4629,48.44,0.582,4158,47.28,0.91,3746,43.16,0.735,2324,50.22,2.574,1127,,,16,,,14,,,11
MA,ma20_break_up,buy,5026,45.24,0.094,5026,47.95,0.056,4865,47.07,0.062,4761,45.53,-0.032,4105,45.64,0.159,3499,43.62,0.051,2941,42.3,0.135,1629,51.23,2.323,652,,,25,,,23,,,23
MA,ma20_support,buy,4410,100.0,1.837,4410,74.2,1.884,4410,66.4,1.635,4315,57.04,1.228,4060,55.31,1.433,3739,53.21,1.81,3347,49.55,2.042,2200,61.73,4.72,1181,56.67,1.336,30,,,28,,,26
MA,ma5_cross_ma20_golden,buy,4309,42.35,-0.153,4309,39.69,-0.644,4218,36.94,-1.057,3960,38.6,-0.911,3435,37.54,-1.135,3340,34.7,-1.458,3184,39.4,-0.513,1660,44.83,0.427,406,,,15,,,15,,,13
MA,ma60_fake_break_down,buy,3409,51.16,0.326,3409,49.9,0.278,3363,53.76,0.589,3337,52.06,0.604,3031,49.86,0.589,2575,50.0,0.527,2148,37.01,-0.416,1516,51.09,2.508,1006,,,12,,,10,,,8
MA,alignment_bull,buy,3403,44.93,-0.065,3403,45.05,-0.197,3310,43.02,-0.358,3152,46.9,0.257,2770,47.76,0.778,2632,46.01,0.931,2395,47.33,1.825,1460,48.34,2.001,602,,,10,,,10,,,10
MA,ma10_cross_ma20_golden,buy,3220,39.63,-0.64,3220,36.91,-1.257,3197,36.23,-1.465,3138,34.99,-1.56,3052,34.5,-1.391,2838,34.42,-1.546,2493,37.78,-0.877,810,48.96,1.292,192,,,15,,,15,,,12
MA,ma60_support,buy,2871,100.0,1.724,2871,77.57,1.873,2871,70.32,1.772,2810,62.66,1.573,2686,58.53,1.394,2484,54.41,1.466,2084,43.08,0.897,1560,55.28,3.062,928,,,26,,,24,,,19
MA,ma5_cross_ma30_golden,buy,2813,42.66,-0.082,2813,41.81,-0.403,2724,40.21,-0.636,2534,42.68,-0.491,2057,41.85,-0.738,1962,35.36,-1.236,1807,39.07,-0.79,1016,41.64,-0.02,293,,,12,,,10,,,10
MA,ma10_cross_ma30_golden,buy,1589,45.0,-0.276,1589,44.07,-0.528,1559,43.94,-0.709,1518,38.07,-1.119,1408,36.21,-1.107,1240,37.38,-1.093,1046,38.03,-1.455,376,47.37,0.449,114,,,12,,,10,,,9
MA,ma20_cross_ma30_golden,buy,1476,47.15,0.127,1476,49.33,0.165,1342,48.82,0.091,1227,51.11,0.814,898,49.79,0.743,715,46.3,0.599,527,40.72,0.628,361,43.48,2.419,207,,,14,,,12,,,11
MA,convergence_bull,buy,976,41.91,-0.22,976,40.93,-0.495,948,41.72,-0.612,894,44.89,-0.151,793,44.01,-0.02,734,41.32,-0.073,668,43.22,-0.063,391,44.17,0.785,120,,,4,,,4,,,4
MA,bias60_extreme_high,sell,17468,53.64,0.077,17468,54.67,0.042,16939,53.86,0.155,16261,52.77,0.604,14761,52.82,1.001,13363,53.33,1.319,11631,53.61,1.953,7142,51.88,3.107,3412,53.33,-0.312,30,70.0,-2.833,30,80.0,-5.947,30
MA,bias5_extreme_high,sell,13271,54.77,0.037,13271,54.74,-0.128,12930,55.78,-0.171,12372,56.32,-0.017,10587,55.68,0.254,8945,56.07,0.234,8097,60.01,-0.085,4396,57.46,0.877,2144,43.14,3.184,51,42.86,4.735,49,44.9,7.348,49
MA,bias10_extreme_high,sell,11838,54.94,-0.016,11838,56.38,-0.194,11399,56.69,-0.207,10820,56.26,0.064,9697,56.33,0.193,8769,58.32,-0.192,7611,59.51,-0.262,3937,59.53,0.211,1643,44.44,2.736,54,42.59,4.426,54,48.15,5.522,54
