stock_code,entry_date,exit_date,entry_price,exit_price,return,hold_days,exit_reason
601022,2025-03-31,2025-04-10,8.12,8.0,-0.014778325123152587,7,heat_recovered
002091,2025-04-10,2025-06-09,6.83,7.48,0.09516837481698401,38,heat_recovered
002511,2025-06-09,2025-07-03,7.08,6.86,-0.03107344632768353,18,heat_recovered
002701,2025-07-03,2025-08-20,5.96,5.58,-0.06375838926174494,34,heat_recovered
600820,2025-08-20,2025-09-15,6.43,6.72,0.04510108864696739,18,heat_recovered
603086,2025-09-15,2025-09-29,9.29,9.04,-0.026910656620021532,10,heat_recovered
600039,2025-09-29,2025-10-14,8.24,8.43,0.023058252427184466,5,heat_recovered
002568,2025-10-14,2025-10-15,26.18,26.88,0.026737967914438474,1,heat_recovered
600380,2025-10-15,2025-11-10,12.29,12.44,0.012205044751830933,18,heat_recovered
601077,2025-11-10,2025-11-13,7.0,6.99,-0.0014285714285715025,3,heat_recovered
603086,2025-11-13,2025-12-09,9.02,8.23,-0.08758314855875822,18,heat_recovered
600566,2025-12-09,2025-12-12,27.4,27.77,0.013503649635036533,3,heat_recovered
002116,2025-12-12,2026-01-20,10.34,10.81,0.04545454545454552,25,heat_recovered
603322,2026-01-20,2026-01-29,39.17,36.82,-0.059994894051570116,7,heat_recovered
002763,2026-01-29,2026-03-19,7.89,7.69,-0.025348542458808417,29,end_of_period
