stock_code,entry_date,exit_date,entry_price,exit_price,return,hold_days,exit_reason
000301,2025-03-18,2025-04-10,9.02,8.01,-0.11197339246119732,16,max_hold
002091,2025-04-10,2025-05-07,6.83,7.35,0.07613469985358708,16,max_hold
601229,2025-05-07,2025-05-12,10.44,10.65,0.020114942528735566,3,heat_recovered
600873,2025-05-12,2025-06-04,10.87,10.59,0.012771509452843489,16,max_hold
601111,2025-06-04,2025-06-26,7.88,7.91,0.00380710659898469,16,max_hold
601000,2025-06-26,2025-07-18,4.06,4.06,0.0,16,max_hold
002948,2025-07-18,2025-08-01,5.01,4.81,-0.03992015968063876,10,heat_recovered
002546,2025-08-01,2025-08-21,5.76,6.28,0.09027777777777786,14,heat_recovered
603530,2025-08-21,2025-09-04,29.67,29.5,-0.0057296932928884966,10,heat_recovered
002226,2025-09-04,2025-09-10,6.08,6.16,0.01315789473684197,4,heat_recovered
000526,2025-09-10,2025-09-17,46.5,47.08,0.012473118279569855,5,heat_recovered
601921,2025-09-17,2025-09-30,8.28,8.25,-0.0036231884057970243,9,heat_recovered
600138,2025-09-30,2025-10-30,9.86,9.66,-0.02028397565922914,16,max_hold
002627,2025-10-30,2025-11-05,5.79,6.16,0.063903281519862,4,heat_recovered
605277,2025-11-05,2025-11-26,23.7,22.08,-0.06835443037974688,15,heat_recovered
600352,2025-11-26,2025-12-16,10.39,10.55,0.015399422521655451,14,heat_recovered
300087,2025-12-16,2026-01-05,11.31,11.69,0.03359858532272316,12,heat_recovered
603345,2026-01-05,2026-01-09,81.41,86.15,0.05822380542930855,4,heat_recovered
600066,2026-01-09,2026-01-28,32.47,31.84,-0.019402525408068957,13,heat_recovered
603967,2026-01-28,2026-02-12,12.59,12.82,0.01826846703733139,11,heat_recovered
300138,2026-02-12,2026-03-02,13.8,14.42,0.044927536231884,6,heat_recovered
002404,2026-03-02,2026-03-19,6.92,6.85,-0.010115606936416098,13,end_of_period
