stock_code,entry_date,exit_date,entry_price,exit_price,return,hold_days,exit_reason
002164,2025-03-31,2025-04-02,8.22,8.01,-0.025547445255474553,2,dif_peak_m4
000678,2025-04-02,2025-04-07,11.95,10.24,-0.14309623430962337,2,dif_peak_m4
002278,2025-04-07,2025-04-09,6.86,7.1,0.03498542274052472,2,dif_peak_m4
002342,2025-04-09,2025-04-11,4.35,4.37,0.004597701149425394,2,dif_peak_m4
002342,2025-04-11,2025-04-15,4.37,4.38,0.002288329519450752,2,dif_peak_m4
603677,2025-04-15,2025-04-17,18.94,19.88,0.049630411826821506,2,dif_peak_m4
002342,2025-04-17,2025-04-28,4.22,4.52,0.07109004739336489,7,dif_peak_m4
301256,2025-04-28,2025-04-30,10.73,10.63,-0.00931966449207812,2,dif_peak_m4
002549,2025-04-30,2025-05-07,8.3,9.4,0.13253012048192767,2,dif_peak_m4
601086,2025-05-07,2025-05-09,11.48,11.01,-0.04094076655052264,2,dif_peak_m4
601008,2025-05-09,2025-05-13,5.08,5.59,0.1003937007874017,2,dif_peak_m4
605188,2025-05-13,2025-05-15,10.93,12.1,0.10704483074107961,2,dif_peak_m4
002719,2025-05-15,2025-05-23,8.79,8.55,-0.027303754266211427,6,dif_peak_m4
002915,2025-05-23,2025-05-27,19.6,20.35,0.038265306122448974,2,dif_peak_m4
002165,2025-05-27,2025-05-29,11.49,10.59,-0.07832898172323756,2,dif_peak_m4
600396,2025-05-29,2025-06-03,3.15,3.11,-0.01269841269841271,2,dif_peak_m4
002915,2025-06-03,2025-06-05,18.59,18.89,0.01613770844540079,2,dif_peak_m4
002651,2025-06-05,2025-06-09,11.42,12.16,0.06479859894921186,2,dif_peak_m4
603332,2025-06-09,2025-06-17,16.36,16.67,0.030411193638407323,6,dif_peak_m4
000695,2025-06-17,2025-06-19,13.42,12.07,-0.10059612518628909,2,dif_peak_m4
603607,2025-06-19,2025-06-23,24.82,24.11,-0.028605962933118487,2,dif_peak_m4
603333,2025-06-23,2025-06-25,7.57,7.51,-0.00792602377807147,2,dif_peak_m4
002639,2025-06-25,2025-06-27,10.16,10.14,-0.001968503937007832,2,dif_peak_m4
300804,2025-06-27,2025-07-01,53.12,53.14,0.00037650602409644443,2,dif_peak_m4
002250,2025-07-01,2025-07-03,11.15,10.93,-0.019730941704035842,2,dif_peak_m4
603093,2025-07-03,2025-07-07,19.68,21.0,0.06707317073170734,2,dif_peak_m4
002250,2025-07-07,2025-07-09,10.84,10.62,-0.02029520295202965,2,dif_peak_m4
002878,2025-07-09,2025-07-11,20.48,20.7,0.010742187499999944,2,dif_peak_m4
002490,2025-07-11,2025-07-15,5.68,5.52,-0.028169014084507067,2,dif_peak_m4
300875,2025-07-15,2025-07-17,40.32,42.4,0.05158730158730154,2,dif_peak_m4
300340,2025-07-17,2025-07-21,17.22,17.42,0.011614401858304464,2,dif_peak_m4
002579,2025-07-21,2025-07-23,12.76,12.25,-0.03996865203761754,2,dif_peak_m4
002579,2025-07-23,2025-07-25,12.25,12.17,-0.006530612244897965,2,dif_peak_m4
002579,2025-07-25,2025-07-29,12.17,12.55,0.031224322103533344,2,dif_peak_m4
600744,2025-07-29,2025-07-31,7.29,6.88,-0.056241426611797,2,dif_peak_m4
605500,2025-07-31,2025-08-04,9.84,9.94,0.010162601626016224,2,dif_peak_m4
601003,2025-08-04,2025-08-06,6.15,6.21,0.009756097560975402,2,dif_peak_m4
601003,2025-08-06,2025-08-08,6.21,6.12,-0.014492753623188385,2,dif_peak_m4
600826,2025-08-08,2025-08-12,10.93,11.24,0.028362305580969853,2,dif_peak_m4
601003,2025-08-12,2025-08-14,6.06,5.87,-0.03135313531353113,2,dif_peak_m4
688585,2025-08-14,2025-08-18,96.69,97.38,0.007136208501396192,2,dif_peak_m4
600117,2025-08-18,2025-08-20,3.63,3.57,-0.016528925619834725,2,dif_peak_m4
002097,2025-08-20,2025-08-22,17.09,16.95,-0.008191925102399097,2,dif_peak_m4
002097,2025-08-22,2025-08-26,16.95,16.22,-0.043067846607669644,2,dif_peak_m4
002097,2025-08-26,2025-08-28,16.22,15.55,-0.04130702836004921,2,dif_peak_m4
601606,2025-08-28,2025-09-05,62.88,53.55,-0.14837786259541993,6,dif_peak_m4
600410,2025-09-05,2025-09-09,19.5,18.11,-0.07128205128205131,2,dif_peak_m4
600410,2025-09-09,2025-09-11,18.11,19.4,0.071231363887355,2,dif_peak_m4
601606,2025-09-11,2025-09-15,47.12,49.17,0.043505942275042536,2,dif_peak_m4
603626,2025-09-15,2025-09-17,13.3,16.09,0.2097744360902255,2,dif_peak_m4
688256,2025-09-17,2025-09-19,1442.0,1349.24,-0.06432732316227462,2,dif_peak_m4
002378,2025-09-19,2025-09-23,12.44,11.9,-0.04340836012861715,2,dif_peak_m4
605188,2025-09-23,2025-09-25,16.24,16.34,0.0061576354679803835,2,dif_peak_m4
605188,2025-09-25,2025-09-29,16.34,15.73,-0.0373317013463892,2,dif_peak_m4
002115,2025-09-29,2025-10-09,10.77,11.46,0.06406685236768797,2,dif_peak_m4
002905,2025-10-09,2025-10-13,10.04,10.09,0.0049800796812749714,2,dif_peak_m4
600103,2025-10-13,2025-10-15,3.47,3.61,0.04034582132564819,2,dif_peak_m4
600977,2025-10-15,2025-10-17,13.67,13.24,-0.0314557425018288,2,dif_peak_m4
600376,2025-10-17,2025-10-21,5.81,6.45,0.11015490533562833,2,dif_peak_m4
600170,2025-10-21,2025-10-23,2.91,2.93,0.006872852233676982,2,dif_peak_m4
000981,2025-10-23,2025-10-27,3.88,4.01,0.03350515463917523,2,dif_peak_m4
002453,2025-10-27,2025-10-29,6.81,6.68,-0.019089574155653436,2,dif_peak_m4
000981,2025-10-29,2025-11-03,4.3,3.76,-0.12558139534883733,3,dif_peak_m4
002513,2025-11-03,2025-11-05,7.92,8.38,0.05808080808080819,2,dif_peak_m4
603011,2025-11-05,2025-11-07,23.78,22.78,-0.04205214465937763,2,dif_peak_m4
002208,2025-11-07,2025-11-11,11.3,11.63,0.029203539823008853,2,dif_peak_m4
000969,2025-11-11,2025-11-13,20.1,20.48,0.01890547263681587,2,dif_peak_m4
603933,2025-11-13,2025-11-17,20.53,20.1,-0.02094495859717485,2,dif_peak_m4
603933,2025-11-17,2025-11-19,20.1,19.21,-0.044278606965174154,2,dif_peak_m4
601611,2025-11-19,2025-11-21,12.07,11.2,-0.07130576746980212,2,dif_peak_m4
002160,2025-11-21,2025-11-25,5.03,5.19,0.03180914512922468,2,dif_peak_m4
002407,2025-11-25,2025-11-27,33.38,32.39,-0.029658478130617193,2,dif_peak_m4
002407,2025-11-27,2025-12-01,32.39,34.5,0.06514356282803332,2,dif_peak_m4
002255,2025-12-01,2025-12-03,12.07,11.7,-0.030654515327257745,2,dif_peak_m4
002213,2025-12-03,2025-12-05,26.27,26.54,0.01027788351732012,2,dif_peak_m4
002759,2025-12-05,2025-12-09,36.22,34.9,-0.03644395361678632,2,dif_peak_m4
002451,2025-12-09,2025-12-11,10.18,9.8,-0.03732809430255393,2,dif_peak_m4
000407,2025-12-11,2025-12-15,4.63,4.69,0.01295896328293742,2,dif_peak_m4
002474,2025-12-15,2025-12-17,10.22,9.53,-0.06751467710371832,2,dif_peak_m4
002474,2025-12-17,2025-12-19,9.53,9.61,0.008394543546694656,2,dif_peak_m4
688795,2025-12-19,2025-12-23,664.1,676.8,0.019123625959945687,2,dif_peak_m4
600734,2025-12-23,2025-12-25,4.74,4.95,0.044303797468354424,2,dif_peak_m4
000078,2025-12-25,2025-12-29,3.65,3.52,-0.03561643835616435,2,dif_peak_m4
600828,2025-12-29,2025-12-31,6.3,5.84,-0.073015873015873,2,dif_peak_m4
002300,2025-12-31,2026-01-06,9.2,9.19,-0.0010869565217391072,2,dif_peak_m4
600693,2026-01-06,2026-01-08,17.88,18.92,0.05816554809843416,2,dif_peak_m4
000735,2026-01-08,2026-01-12,8.64,8.46,-0.020833333333333297,2,dif_peak_m4
603122,2026-01-12,2026-01-14,22.15,20.5,-0.07449209932279904,2,dif_peak_m4
000592,2026-01-14,2026-01-16,15.48,12.54,-0.18992248062015513,2,dif_peak_m4
600865,2026-01-16,2026-01-20,14.18,13.89,-0.02045133991537358,2,dif_peak_m4
002792,2026-01-20,2026-01-22,46.14,47.43,0.027958387516254703,2,dif_peak_m4
000547,2026-01-22,2026-01-26,27.26,26.48,-0.028613352898019372,2,dif_peak_m4
603123,2026-01-26,2026-01-28,13.21,12.88,-0.024981074943224834,2,dif_peak_m4
600783,2026-01-28,2026-01-30,23.68,23.21,-0.019847972972972926,2,dif_peak_m4
002413,2026-01-30,2026-02-03,13.33,14.36,0.07726931732933214,2,dif_peak_m4
002202,2026-02-03,2026-02-05,27.16,24.82,-0.0861561119293078,2,dif_peak_m4
002465,2026-02-05,2026-02-09,17.39,17.95,0.03220241518113871,2,dif_peak_m4
002115,2026-02-09,2026-02-13,15.3,14.33,-0.06339869281045755,4,dif_peak_m4
002716,2026-02-13,2026-02-25,13.68,15.87,0.16008771929824572,2,dif_peak_m4
600986,2026-02-25,2026-02-27,12.04,12.18,0.011627906976744384,2,dif_peak_m4
601212,2026-02-27,2026-03-05,10.7,10.04,-0.061682242990654224,4,dif_peak_m4
002131,2026-03-05,2026-03-09,8.57,8.61,0.004667444574095583,2,dif_peak_m4
002342,2026-03-09,2026-03-11,14.18,14.13,-0.0035260930888574705,2,dif_peak_m4
603103,2026-03-11,2026-03-13,24.42,23.45,-0.039721539721539675,2,dif_peak_m4
003018,2026-03-13,2026-03-18,28.04,27.27,-0.027460770328102697,3,dif_peak_m4
603950,2026-03-18,2026-03-19,43.82,41.16,-0.0607028753993611,1,end_of_period
