index,trend,n,atr_ratio_mean,range_pct_mean,range_pct_median,range_pct_p90,cov_0.5x,cov_0.8x,cov_1.0x,cov_1.2x,cov_1.5x,cov_2.0x
上证指数,全量,7997,1.9466,1.8299,1.4133,3.3305,10.9,46.2,65.6,78.0,88.8,96.0
上证指数,牛市,3629,1.7952,1.7414,1.3289,3.2346,10.3,45.1,64.5,76.8,87.8,95.7
上证指数,熊市,4367,2.0724,1.9035,1.471,3.4783,11.5,47.2,66.5,78.9,89.5,96.2
深证成指,全量,7995,2.2678,2.1586,1.7172,3.9189,9.1,44.4,63.9,77.3,89.1,96.2
深证成指,牛市,3626,2.1485,2.1005,1.6783,3.7976,8.0,43.2,62.9,76.0,88.1,95.8
深证成指,熊市,4368,2.3669,2.2068,1.744,4.0106,10.0,45.3,64.6,78.4,89.8,96.5
创业板指,全量,3820,2.3594,2.2433,1.9093,3.7979,8.5,42.4,63.3,77.9,89.8,96.8
创业板指,牛市,1989,2.2358,2.1639,1.8186,3.7336,8.2,43.0,62.6,77.7,88.8,96.4
创业板指,熊市,1830,2.4937,2.3296,1.987,3.8373,8.9,41.7,64.0,78.1,90.8,97.2
上证50,全量,5377,1.9487,1.8359,1.487,3.3341,8.7,44.5,65.3,78.6,89.3,96.8
上证50,牛市,2764,1.8002,1.7311,1.3631,3.1964,8.6,43.5,63.7,77.6,88.2,96.5
上证50,熊市,2612,2.1058,1.9467,1.5844,3.4985,9.0,45.6,67.0,79.7,90.4,97.1
沪深300,全量,5134,1.914,1.8096,1.4479,3.2579,8.5,44.0,65.0,78.0,89.2,97.0
沪深300,牛市,2764,1.7619,1.6998,1.3502,3.0358,8.3,42.7,64.0,76.8,88.1,96.7
沪深300,熊市,2369,2.0915,1.9378,1.5477,3.5332,8.8,45.6,66.3,79.4,90.3,97.3
中证500,全量,5134,2.1136,2.0212,1.6195,3.6662,8.7,44.0,63.9,77.1,88.5,95.9
中证500,牛市,2764,2.0014,1.9453,1.568,3.4713,8.9,43.4,62.8,76.2,88.1,95.7
中证500,熊市,2369,2.2445,2.1098,1.6888,3.8841,8.5,44.7,65.2,78.1,89.0,96.1
中证1000,全量,5134,2.2034,2.1048,1.6988,3.7941,9.5,44.4,63.7,77.1,88.5,95.8
中证1000,牛市,2764,2.0904,2.0249,1.6367,3.654,9.5,43.8,63.1,76.1,88.0,95.5
中证1000,熊市,2369,2.3352,2.198,1.7648,4.042,9.5,45.1,64.2,78.3,89.0,96.1
