ts_code,全历史_样本量,全历史_1.0x覆盖率,全历史_K_buy_50,全历史_K_buy_80,全历史_K_sell_50,全历史_K_sell_80,近一年_样本量,近一年_1.0x覆盖率,近一年_K_buy_50,近一年_K_buy_80,近一年_K_sell_50,近一年_K_sell_80
000001.SZ,5995,64.2,0.3594,0.7108,0.3665,0.8049,242,63.2,0.3308,0.6679,0.4179,0.8737
000531.SZ,5989,64.2,0.3757,0.7449,0.3621,0.7589,242,65.7,0.3522,0.6934,0.3581,0.763
000705.SZ,5993,63.6,0.3545,0.7339,0.3947,0.7901,241,71.0,0.3332,0.641,0.3436,0.7322
000888.SZ,5994,62.8,0.3549,0.7328,0.3858,0.816,242,64.0,0.3034,0.6609,0.3963,0.8736
001256.SZ,780,65.0,0.3699,0.7499,0.3443,0.734,242,63.2,0.3782,0.714,0.3707,0.6839
002037.SZ,4944,63.1,0.3528,0.7399,0.3933,0.8137,239,65.7,0.3299,0.669,0.3889,0.8168
002157.SZ,4365,63.3,0.369,0.7168,0.3675,0.8032,242,65.3,0.3654,0.6554,0.4276,0.8235
002272.SZ,4002,65.1,0.3456,0.7049,0.3841,0.7956,241,64.3,0.344,0.6045,0.3877,0.8717
002391.SZ,3842,64.5,0.3731,0.743,0.373,0.7717,242,64.0,0.3742,0.7316,0.3676,0.7413
002518.SZ,3659,62.5,0.356,0.7344,0.3846,0.8324,242,62.8,0.3423,0.6629,0.4075,0.8647
002636.SZ,3328,63.6,0.3441,0.707,0.392,0.8025,239,60.7,0.3428,0.6659,0.4116,0.9797
002761.SZ,2496,66.2,0.3275,0.6747,0.3402,0.8037,242,68.6,0.334,0.7099,0.3301,0.7061
002885.SZ,2098,64.7,0.3459,0.7166,0.3745,0.8329,242,61.2,0.3878,0.7043,0.3364,0.8892
003007.SZ,1303,66.5,0.3342,0.6517,0.3685,0.8107,240,71.2,0.3091,0.628,0.3571,0.7864
300083.SZ,3693,62.9,0.3607,0.7315,0.3856,0.8215,242,71.1,0.3281,0.6545,0.374,0.693
300206.SZ,3595,62.2,0.3602,0.7326,0.3822,0.8135,242,65.3,0.3534,0.6416,0.3807,0.7365
300328.SZ,3278,63.4,0.3511,0.7097,0.3852,0.8195,242,64.5,0.3174,0.623,0.4084,0.8826
300450.SZ,2463,62.2,0.3721,0.7184,0.3833,0.8305,242,60.3,0.3263,0.5867,0.4478,0.932
