ts_code,industry,total_mv,close,data_count,atr_ratio_latest,mae,cov_0.5x,cov_0.8x,cov_1.0x,cov_1.2x,cov_1.5x,cov_2.0x,buy_dev_median,buy_dev_p80,sell_dev_median,sell_dev_p80
000001.SZ,银行,21268900.0,10.96,6011,1.134,1.1697,10.1,44.3,64.2,77.7,88.7,96.1,0.3594,0.7108,0.3665,0.8049
000027.SZ,公用事业,3411050.0,7.17,6011,2.4081,1.1895,10.2,44.0,63.8,77.0,88.2,95.8,0.3779,0.7414,0.3765,0.7699
000058.SZ,商贸零售,1060060.0,8.61,6011,2.374,1.6998,12.5,47.3,64.5,76.4,87.1,94.9,0.349,0.7182,0.3701,0.7911
000153.SZ,医药生物,309945.0,6.67,5772,1.8942,1.6851,13.0,45.8,63.4,75.9,86.9,94.9,0.347,0.7324,0.3683,0.7964
000410.SZ,机械设备,1915280.0,7.23,6011,3.2409,1.5124,10.6,45.1,63.8,76.8,87.7,95.1,0.3575,0.7253,0.3742,0.8053
000504.SZ,医药生物,332003.0,10.06,6011,3.4295,1.6554,10.1,42.5,62.2,75.9,87.6,96.2,0.3576,0.7174,0.3939,0.8341
000529.SZ,,353777.0,6.06,6011,1.7895,1.3017,9.8,44.3,64.1,77.0,88.4,95.8,0.3797,0.7425,0.3634,0.7707
000551.SZ,环保,675718.0,13.94,6011,3.7128,1.4819,10.4,44.8,63.3,75.9,87.4,95.7,0.3543,0.7607,0.3882,0.7733
000572.SZ,汽车,1092040.0,6.64,6011,3.8369,1.6413,11.1,44.9,62.5,75.5,87.2,95.8,0.3475,0.7141,0.3884,0.8231
000605.SZ,环保,259204.0,7.35,6011,2.2703,1.591,13.3,46.6,64.1,76.6,87.1,95.0,0.3538,0.7479,0.3725,0.7701
000633.SZ,有色金属,275351.0,7.15,6011,3.4599,1.563,13.7,47.4,65.4,77.7,87.5,95.3,0.3716,0.724,0.3417,0.7534
000670.SZ,,701122.0,8.3,4738,3.7406,1.7526,12.7,45.5,64.4,77.3,87.9,96.4,0.3338,0.6935,0.3901,0.8199
000700.SZ,汽车,1112630.0,12.12,6011,5.6105,1.561,11.0,44.9,64.0,77.2,87.3,95.1,0.3695,0.7424,0.3752,0.7801
000721.SZ,社会服务,473479.0,8.25,6011,2.2406,1.7304,13.2,46.6,63.7,76.3,87.0,94.8,0.3345,0.6966,0.3918,0.8059
000755.SZ,交通运输,802619.0,5.47,6011,2.1802,1.5054,10.6,44.7,64.0,76.9,88.3,95.7,0.357,0.7232,0.3767,0.7972
000788.SZ,医药生物,361764.0,6.07,6011,2.1834,1.5715,11.9,45.3,63.7,76.5,87.3,95.2,0.3514,0.7405,0.3797,0.788
000811.SZ,机械设备,1865860.0,18.8,6011,5.5674,1.7264,11.3,43.5,62.5,75.2,86.7,95.8,0.3684,0.7447,0.3907,0.8027
000838.SZ,,254207.0,2.31,6011,5.2055,1.905,13.5,45.9,64.5,76.1,87.3,94.9,0.3519,0.7277,0.377,0.8151
000881.SZ,基础化工,750668.0,7.94,6011,3.1023,1.4573,11.9,46.6,64.5,76.7,87.5,95.2,0.3627,0.7454,0.3558,0.777
